N,alpha,refusal_rate,n_evaluated,status,error_msg
512,0.0,0.86,100,ok,
512,1.0,0.88,100,ok,
512,2.0,0.89,100,ok,
512,4.0,0.89,100,ok,
512,8.0,0.92,100,ok,
512,16.0,0.91,100,ok,
1024,0.0,0.9,100,ok,
1024,1.0,0.9,100,ok,
1024,2.0,0.9,100,ok,
1024,4.0,0.91,100,ok,
1024,8.0,0.9,100,ok,
1024,16.0,0.92,100,ok,
2048,0.0,0.94,100,ok,
2048,1.0,0.92,100,ok,
2048,2.0,0.93,100,ok,
2048,4.0,0.93,100,ok,
2048,8.0,0.94,100,ok,
2048,16.0,0.95,100,ok,
4096,0.0,0.93,100,ok,
4096,1.0,0.94,100,ok,
4096,2.0,0.93,100,ok,
4096,4.0,0.94,100,ok,
4096,8.0,0.95,100,ok,
4096,16.0,0.95,100,ok,
